gen;age;niv;job;ex;RA_1;RA_2;RA_3;RA_4;RA_5;COM_1;COM_2;COM_3;COM_4;COM_5;CPX_1;CPX_2;CPX_3;CPX_4;CPX_5;DS_1;DS_2;DS_3;DS_4;OR_1;OR_2;OR_3;OR_4;TMS_1;TMS_2;TMS_3;TMS_4;TMS_5;TE_1;TE_2;TE_3;TE_4;GS_1;GS_2;GS_3;GS_4;RL_1;RL_2;RL_3;RL_4;SE_1;SE_2;SE_3;SE_4;SE_5;AT_1;AT_2;AT_3;AT_4;PU_1;PU_2;PU_3;PU_4;PEOU_1;PEOU_2;PEOU_3;PEOU_4;PEOU_5;PEOU_6;EHRA_1;EHRA_2;EHRA_3;EHRA_4;EHRA_5;EHRA_6;EHRA_7
2;1;2;3;2;5;5;4;4;5;4;5;5;5;5;3;2;4;4;4;5;4;2;4;5;4;4;4;2;4;4;5;4;4;5;4;4;2;4;4;5;5;4;5;5;5;4;4;5;5;4;5;5;5;4;4;5;5;5;5;5;5;2;5;4;5;5;5;5;5;5
2;1;3;4;1;5;5;5;4;4;4;4;4;5;4;2;3;4;3;3;5;4;5;4;4;4;4;3;4;4;4;4;5;5;4;4;4;1;2;2;2;3;2;3;4;4;4;2;3;4;5;4;5;4;4;4;3;4;4;4;2;4;1;3;4;4;4;5;5;4;4
2;3;1;4;4;5;4;4;4;4;5;4;5;4;4;2;3;4;4;4;5;4;3;4;5;5;5;5;3;5;5;5;4;5;5;5;5;3;3;2;4;5;4;4;5;4;5;2;5;4;5;5;5;5;5;5;5;5;5;4;4;4;2;4;5;4;4;4;5;4;4
2;2;3;4;4;3;3;3;3;3;4;3;3;3;3;1;1;1;1;1;4;4;3;3;3;3;5;3;4;4;4;4;4;5;5;5;5;4;4;4;4;3;3;3;3;2;2;2;2;2;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
1;2;1;4;2;5;3;3;5;3;3;3;3;5;3;4;4;4;4;4;4;4;3;4;4;4;5;4;4;4;3;4;4;4;4;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;4;4;4;4;3;3;3;3;4;4;4;3;3;3;3;3;4;4;4;3;4
2;2;5;3;3;4;5;4;4;5;4;5;4;1;5;4;3;3;4;3;4;5;4;5;4;5;5;3;4;4;4;5;5;4;4;5;5;4;4;3;3;4;5;5;4;4;5;4;4;4;5;4;4;4;4;4;5;5;4;4;5;5;1;4;5;5;5;4;4;5;5
2;1;3;6;1;4;4;5;4;5;5;5;4;4;4;3;4;4;4;2;5;3;3;5;4;5;5;4;3;3;4;4;5;4;5;5;3;3;4;4;4;3;4;4;4;4;4;3;4;4;4;5;4;4;3;4;4;4;4;4;4;4;2;4;4;5;4;4;5;5;5
1;1;3;6;1;4;4;4;2;2;3;4;4;4;4;2;1;4;4;2;5;5;3;5;3;2;1;1;5;4;5;5;4;5;5;5;2;3;4;4;4;5;5;5;4;4;4;2;2;2;4;4;4;5;5;5;4;4;3;3;2;4;4;3;4;4;2;4;4;2;2
1;2;4;6;2;2;4;4;4;4;5;5;4;4;2;3;3;3;4;4;5;5;2;3;5;4;4;2;5;4;4;3;3;1;1;4;4;5;4;4;4;5;5;5;4;3;3;4;4;2;5;5;3;2;5;4;4;3;4;3;3;2;1;2;5;5;4;4;3;2;2
2;2;3;4;5;5;5;5;5;5;4;4;2;3;2;3;4;4;4;2;4;3;4;4;4;5;4;4;4;3;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;3;3;3;4;4;4;4;3;4;4;4;4;4;4;4;4;4
1;1;3;4;3;5;5;5;5;5;4;4;5;5;5;2;4;4;3;2;4;5;4;3;5;4;3;4;4;3;3;3;4;4;4;3;4;5;5;4;5;5;4;4;3;4;3;4;3;2;5;4;4;4;5;5;4;5;5;4;4;5;4;5;5;4;5;5;5;5;5
1;2;4;5;4;2;2;4;4;5;5;5;5;2;4;2;4;5;4;5;5;3;3;4;5;5;5;5;5;4;4;5;5;5;5;5;5;5;5;4;5;3;3;5;5;5;4;4;5;3;5;5;5;5;5;5;4;5;3;3;5;5;3;4;3;3;3;2;5;4;3
2;2;1;4;3;4;4;4;4;4;4;4;4;4;4;2;4;1;1;2;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;4;4;4;4;4;5;4;4;4;4;4;5;4;4;4;2;2;2;4;2;3;3;3;5;4;2;2;2;4;4;3;3
2;2;4;6;4;5;5;5;5;4;3;3;3;3;3;4;4;4;4;4;2;2;1;2;4;4;4;4;4;4;3;4;4;5;5;5;5;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;4;2;4;3;3;3;4;4;3;3
2;3;4;3;4;5;5;5;5;5;5;5;5;5;5;4;5;5;4;5;5;5;4;4;4;5;4;5;3;4;3;3;4;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;5;5;5;5;5;5;4;5
2;2;3;5;2;5;5;5;5;5;4;5;5;5;4;2;5;3;3;4;4;5;5;4;4;2;5;1;4;2;5;4;4;5;4;4;5;3;1;2;4;2;1;3;1;4;3;1;4;3;3;5;4;4;5;4;5;4;4;5;5;5;3;2;3;5;4;5;4;4;5
2;3;2;4;5;3;3;5;5;2;2;3;3;4;4;3;1;3;3;3;3;5;3;3;3;3;3;5;3;2;3;3;5;3;3;3;3;3;5;5;3;5;1;3;3;3;3;3;3;3;3;5;5;5;5;5;5;5;5;3;3;3;2;3;2;2;4;3;3;3;3
2;1;2;4;2;3;4;4;4;4;3;4;4;3;4;4;4;3;4;2;4;3;2;3;3;4;4;3;3;4;3;4;4;4;4;4;4;3;3;3;4;3;3;4;3;3;3;3;4;4;4;3;3;3;3;3;3;3;4;4;4;3;3;3;3;3;3;3;3;3;3
2;2;4;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;4;4;4;4;4;4;4;5;5;5;5;4;4;2;4;4;4;4;4;4;4;4
2;4;1;4;3;5;5;5;5;5;4;4;4;2;4;4;3;4;4;4;4;4;3;4;4;4;5;4;4;4;3;4;4;4;4;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;3;3;3;4;4;4;4;3;4;4;4;4;4;4;4;4;4
1;2;1;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;4;3;3;3;4;4;4;4;4;4;4;4;3;3;3;3;3;3;4;4;4;4;4;4;4
1;5;1;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;4;3;4;4;4;5;4;3;4;4;4;4;5;5;4;4;4;4;4;3;3;3;3;4;4;3;3;4;4;4;4;4;4;5;5;4;3;4;4;3;3;4;5;5;4;4;4;5;5
1;2;3;6;3;5;5;4;4;5;4;4;5;5;4;4;5;4;4;5;4;5;3;3;4;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;3;4;4;5;3;4;4;3;4;4;4;5;5;4;4;4;4;4;4;4;4;3;4;5;5;4;5;5;4;5
2;1;3;5;2;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;3;4;4;4;4;4;4;5;5;4;4;4;4;4;4;4;4;5;5;4;4;2;5;4;4;4;4;4;4;4
1;3;5;2;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;5;5;5;5;5;5;4;4;4;4;5;5;5;5;5;5;5;5;5;4;4;5;5;5;5;5;4;1;5;5;5;5;4;4;5;5
1;1;1;4;1;4;4;5;5;3;5;5;4;4;5;4;4;4;4;4;4;4;2;4;4;4;5;5;4;4;4;4;4;4;4;5;5;3;3;3;3;3;3;4;4;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;4;1;4;4;4;4;4;4;4;4
2;2;4;5;3;5;5;4;4;5;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;4;3;3;5;5;5;4;4;4;4;4;5;2;4;3;5;5;4;3;4;5;5;5;5;5;4;4;5;5;4;4;4;4;1;5;5;5;5;5;5;5;5
2;1;3;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4
1;3;1;4;5;4;4;3;3;2;3;3;4;3;3;1;1;4;3;3;4;4;3;3;5;4;5;3;3;3;3;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;4;2;3;3;4;4;4;4;4;4;3;4;5;4;3;3;1;3;4;4;5;3;3;3;4
2;2;4;6;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;4;4;5;5;5;4;4;3;4;4;5;3;4;4;4;4;4;4;4;5;5;4;5;4;5;5;4;5;4;4;5;5;2;5;5;5;4;4;5;5;5
1;1;2;4;1;4;4;4;4;3;4;4;5;5;5;4;4;4;4;4;5;5;5;5;4;4;4;4;5;5;4;4;5;4;4;4;4;3;3;3;3;3;3;3;3;4;4;5;5;4;4;4;4;4;4;4;4;5;4;4;4;4;2;4;4;4;4;4;4;4;4
1;2;3;5;2;2;3;2;3;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;3;3;2;2;2;2;3;3;3;4;3;3;3;3;3;3;3;2;2;2;2;3;3;3;3;3;2;3;3;3;2;2;2;2;2;2;2;2;5;2;2;1;2;2;2;1;2
2;1;1;4;1;4;4;4;4;2;4;4;4;4;4;4;4;4;4;4;4;4;5;5;4;4;5;4;4;4;4;4;4;4;4;5;5;3;3;3;3;2;3;3;3;5;4;3;5;5;4;5;4;4;4;4;4;4;5;5;5;5;2;5;4;4;4;4;4;4;4
2;2;5;3;3;5;5;5;5;5;3;3;4;4;5;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;4;4;5;5;5;5;5;5;5;4;5;3;3;3;3;5;5;5;5;5;5;5;4;4;4;4;5;4;4;4;5;5;3;5;3;5;5;3;3;5;5
1;2;5;7;3;5;5;5;5;5;4;4;4;4;5;4;5;5;4;4;5;5;3;4;4;4;4;5;3;3;3;3;4;4;4;4;4;3;3;3;3;3;3;4;4;4;4;2;4;5;5;5;5;5;5;5;5;4;5;5;5;4;2;5;5;5;5;5;5;5;5
1;1;3;5;2;4;4;4;4;4;2;2;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;4;4;4;4;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;2;2;2;2;4;4;4;4;4;4;2;4;4;2;4;3;3
2;3;3;6;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;4;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;4;4;4;4;4;4;4;5;5;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5
1;3;1;4;5;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;5;5;4;4;4;3;3;3;3;3;3;3;3;2;2;3;3;3;3;2;3;3;4;4;4;4;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2
1;2;5;1;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;4;4;4;4;3;3;3;3;3;5;5;5;5;3;3;3;3;3;3;3;3;5;5;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5
2;2;3;5;3;5;5;5;5;5;5;4;4;4;5;2;1;3;3;2;5;5;5;5;5;5;5;5;4;4;4;4;4;5;5;5;5;4;4;4;4;3;4;4;4;5;5;5;5;5;5;5;5;5;5;4;4;4;5;4;4;4;3;5;5;5;5;5;5;5;5
1;2;4;4;3;4;4;4;4;2;3;3;3;3;3;2;2;3;4;2;4;4;2;4;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;2;2;2;2;4;4;4;4;4;3;4;4;3;3;2;2;2;4;4;4;4;3;4;4;4;4;4;4;4;4
1;2;3;6;4;4;4;5;4;5;2;3;2;3;2;4;2;5;5;4;4;2;1;1;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;5;5;4;4;4;4;4;4;3;4;5;5;4;4;4;4;4
2;1;3;4;2;4;4;4;4;4;4;4;4;4;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;4;4;4;4;4;5;4;4;4;4;5;5;5;5;5;5;5;5;4;4;4;4;2;4;5;4;4;4;5;4;4
2;3;2;4;4;5;5;5;5;4;4;5;4;4;5;4;3;4;4;5;5;4;2;4;4;4;5;5;4;2;2;4;4;4;5;5;4;1;4;3;3;2;2;5;5;4;4;2;4;4;4;4;4;4;5;4;4;4;4;4;4;4;2;4;4;4;5;4;5;4;5
2;3;5;7;5;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;4;4;2;2;4;4;4;4;4;4;4;4;4;4;5;5;5;4;4;4;4;3;4;4;4;5;5;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;4;4;4;4;4;4;4
2;2;1;4;4;4;4;4;4;3;4;4;4;4;4;4;3;3;3;3;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;5;5;4;4;4;4;4;4;4;5;5;5;5;4;4;4;4;2;5;4;4;4;4;4;4;4
2;2;3;6;4;4;5;5;4;4;5;4;4;4;5;3;4;3;4;5;4;3;3;4;5;4;4;4;4;4;4;4;4;5;5;5;4;3;4;3;4;3;4;3;4;4;4;4;3;3;5;4;4;4;4;4;4;4;4;4;4;4;2;4;4;4;4;3;4;4;3
2;1;3;6;3;5;5;5;4;4;4;3;3;5;3;4;4;4;4;4;4;4;3;4;4;4;4;4;3;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;4;4;2;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;4;4;4;4;4;4;4;4
1;2;5;1;3;4;4;5;4;5;4;4;4;4;4;4;5;4;5;4;4;4;4;4;3;4;4;3;4;4;3;3;3;4;4;4;4;3;3;3;3;3;3;3;3;4;4;3;4;4;4;4;5;5;4;4;4;4;3;5;3;2;2;3;3;3;4;4;4;4;4
2;3;3;6;4;5;5;5;5;4;5;4;5;3;3;4;5;4;5;5;5;3;3;4;5;5;5;5;2;3;4;4;3;5;5;5;5;3;3;3;4;4;3;5;5;5;5;5;5;5;5;5;5;4;4;5;2;4;5;4;5;5;2;5;5;5;5;5;4;5;4
2;1;5;2;1;5;4;5;4;4;4;4;4;4;5;4;4;4;4;5;4;3;3;3;5;5;5;5;3;3;3;4;4;4;4;4;4;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;5;4;3;3;5;4;4;4;4;4;4;5;5;4;2;4;3;3
2;1;5;3;2;5;5;5;5;4;5;5;5;5;5;3;4;4;4;5;3;2;1;3;4;5;5;5;3;4;4;4;4;5;4;5;5;3;5;3;5;3;4;4;4;2;4;1;5;5;4;4;4;4;5;5;5;5;3;3;4;4;2;4;4;4;4;4;5;4;4
1;2;5;1;2;4;4;5;4;3;4;4;4;3;3;4;4;3;3;4;4;4;2;3;4;4;4;4;4;4;4;4;3;4;4;4;4;2;2;3;3;3;3;4;4;2;4;2;2;3;4;4;4;4;4;3;3;4;3;3;3;3;2;2;4;4;4;3;4;4;4
2;1;5;7;3;4;5;5;5;3;4;2;2;4;4;3;3;2;4;3;4;3;3;4;4;4;4;4;4;3;2;3;4;4;4;4;4;3;2;2;4;2;2;2;4;2;4;3;2;4;4;4;4;5;3;2;2;4;4;3;4;3;4;2;4;4;4;2;4;4;4
1;2;3;5;3;5;4;4;4;4;3;4;4;4;4;2;5;5;4;5;5;5;2;3;4;4;4;4;4;4;4;4;4;4;4;4;4;3;2;2;2;2;3;4;4;4;4;3;4;4;4;4;4;4;4;3;3;4;3;2;2;3;1;2;4;4;4;4;4;4;3
2;1;5;1;1;5;3;5;3;5;4;5;5;2;2;1;4;4;5;5;4;4;1;3;4;4;5;4;2;2;3;2;4;4;3;3;4;2;2;3;2;1;2;5;5;5;4;5;5;4;3;4;4;5;4;4;5;4;4;5;5;4;2;4;4;4;4;3;3;3;4
2;3;5;3;1;5;4;4;5;5;5;5;4;5;5;4;4;4;4;4;5;3;3;3;4;4;4;5;3;4;4;3;3;5;5;5;5;3;4;3;4;3;3;4;4;4;4;4;4;5;5;5;5;4;4;4;4;5;5;4;4;4;1;4;4;4;4;3;4;5;4
2;2;5;7;2;5;5;5;5;5;4;4;5;5;5;3;5;4;5;5;5;5;4;4;5;5;5;5;4;3;2;3;3;4;5;5;4;2;3;2;3;4;3;4;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;5;4;5;5;5;5;5;5
1;3;5;2;3;5;5;5;5;5;4;4;4;4;4;4;4;3;3;4;5;5;3;5;4;4;5;4;5;4;2;4;3;5;5;5;5;4;2;3;3;4;4;4;4;4;4;3;4;4;5;5;5;5;5;5;5;5;3;3;3;4;2;4;4;4;4;4;4;4;4
2;3;5;2;4;4;4;4;4;5;4;4;4;4;4;4;4;5;4;4;5;3;3;3;4;5;5;5;5;5;3;3;3;4;4;5;4;3;3;3;4;3;5;5;5;3;4;3;3;2;5;5;5;5;4;4;4;4;3;3;3;3;2;3;4;4;4;4;4;3;4
1;1;5;1;1;5;4;5;4;4;4;5;5;5;4;3;3;4;4;3;5;4;4;4;5;4;3;4;3;3;3;3;4;5;5;5;4;3;3;2;3;3;2;2;3;4;4;4;4;4;4;4;4;4;5;4;4;5;4;4;4;4;2;5;4;5;3;5;5;4;5
2;2;2;4;3;5;5;5;5;3;4;4;4;4;5;4;5;4;3;4;4;4;4;4;5;5;5;5;2;2;3;1;3;5;5;5;5;1;1;2;2;3;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;5;5;5;2;5;5;5;5
1;1;3;5;2;5;5;5;5;5;5;5;5;2;2;4;4;3;4;4;4;4;4;3;4;5;4;5;1;3;2;3;4;5;5;4;4;2;2;2;3;2;3;5;5;3;5;3;5;3;5;5;5;5;5;5;3;5;4;4;4;4;2;4;5;5;5;3;5;5;5
2;2;5;7;2;5;5;5;5;5;4;5;5;5;4;4;4;4;4;4;4;3;3;2;5;5;5;3;4;5;5;4;4;4;4;4;4;4;5;5;5;4;5;5;5;3;4;4;4;5;5;5;5;5;5;4;5;5;4;4;4;4;3;5;5;5;5;5;5;5;5
2;3;5;2;4;5;5;5;5;3;4;4;4;4;4;5;5;5;5;5;4;4;4;4;5;5;5;5;5;4;4;4;4;5;5;5;5;3;3;3;3;3;3;3;4;4;4;4;4;4;5;5;5;5;5;5;4;5;5;5;5;5;4;5;5;5;5;5;5;5;5
2;4;5;1;5;5;5;5;5;5;5;5;5;5;4;4;5;5;5;5;3;1;1;3;5;5;5;5;4;4;4;4;4;5;5;5;5;1;1;1;1;3;3;3;4;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;4;1;5;5;5;5;5;5;5;5
2;1;2;4;1;5;5;5;5;5;4;4;5;5;3;4;4;3;4;5;4;4;4;4;4;4;4;4;4;4;4;5;4;3;3;4;4;2;3;3;4;2;1;2;2;5;4;4;4;4;3;4;4;4;2;3;4;4;4;4;4;4;4;4;5;4;4;5;5;5;5
1;2;3;6;2;5;4;4;5;5;5;5;5;3;3;4;4;3;4;4;4;4;4;3;4;4;5;5;3;4;4;5;4;5;5;5;5;4;5;1;5;2;3;5;5;3;5;3;5;3;5;5;5;5;5;5;3;5;4;4;4;4;2;4;5;5;5;3;5;5;5
1;1;5;7;2;4;5;4;4;3;4;3;4;3;3;4;3;3;4;3;4;4;3;4;4;4;4;4;3;4;4;3;4;4;4;4;4;2;3;4;4;2;3;3;4;4;4;4;4;3;2;4;4;4;4;4;3;4;4;4;4;4;3;3;3;4;3;2;4;4;3
1;3;5;7;3;5;5;5;5;5;5;4;5;4;3;4;4;3;4;5;4;4;4;3;4;4;4;4;4;4;4;5;3;3;4;4;4;2;3;2;3;2;1;2;2;5;4;4;4;4;3;4;4;4;2;4;4;4;4;4;4;4;2;4;5;4;4;5;5;5;5
2;1;4;6;2;5;5;5;5;5;5;5;4;3;2;4;4;3;4;4;4;4;3;4;5;4;5;4;4;4;4;5;4;4;4;4;4;2;4;4;5;2;1;4;4;4;4;4;4;4;4;4;3;4;3;4;4;4;4;4;4;4;3;4;5;3;3;5;5;5;5
2;3;5;1;2;4;4;4;5;4;4;4;4;4;5;4;5;4;4;4;2;1;1;3;4;4;4;5;5;5;5;5;4;4;4;4;4;3;3;3;3;3;3;3;3;5;5;5;5;5;4;4;5;5;5;4;4;4;5;5;5;5;2;5;5;5;5;5;5;5;5
2;2;5;2;4;5;5;4;4;2;4;4;4;4;5;5;4;4;5;5;4;4;2;3;5;5;5;5;4;4;4;4;4;4;5;4;5;2;2;2;2;3;3;3;4;5;5;3;4;4;5;5;5;5;4;4;4;4;5;5;4;4;1;5;5;5;5;5;5;5;5
2;1;5;7;3;5;5;5;5;4;5;5;5;4;4;3;4;3;4;5;4;4;4;3;4;4;4;4;4;4;4;5;4;4;4;4;4;2;3;3;4;2;1;2;2;5;4;4;4;4;3;4;4;4;4;4;5;5;5;5;5;5;2;5;5;4;5;5;4;4;3
